🌈 4K UHD,#genre#
Love Nature 4K,http://iptv.852851.xyz/l/RaOk39UR1W6k_1ut2gs045qUhDErAJ4BXBTC6DgY4MOXUcO-krdA9tj02NzIEw-Z/index.m3u8
Sky Sports F1 4K,http://iptv.852851.xyz/l/HVwwAJDoYTXgR7k66OHdfd5tQrgU_4KvOnM0HBg-PYkKb2OfzDwsNB9Jl-tYjdyW/index.m3u8
NHK BSP4K JP,http://iptv.852851.xyz/l/-HzRnAzc1m05wHIzNFXwmHdrZRLrfKnv93TR8w0fkCt74-tUXQWHhQORRJ6GvecA/index.m3u8
NHK BS8K JP,http://iptv.852851.xyz/l/WZWdSMt7KLVtcSRM0NTHwRynZ762aixBWRtzn03QDZr0jp12xnkJ8JOZFuCeY5lG/index.m3u8
🇹🇼 台湾频道,#genre#
愛爾達體育3台,http://iptv.852851.xyz/l/FVnj6O6kjg-jzqTiari1v5VDIHfmm9I1BGib5oiUiv8ezoTH50bLPjY7Hfrt-2Um/index.m3u8
愛爾達體育2台,http://iptv.852851.xyz/l/pQsO4LdBR2oFZXMP2kjZveNthj4O1qkibLvrFpmWLr8WhpPTH7LMH1oRKXbttO8I/index.m3u8
纬来日本台,http://iptv.852851.xyz/l/xKY7pjRnD5TibTaYQAzSn2fOgkNlHllC_LZF9fiCag4vOSU6ujcI-BZZd4Z_ftjL/index.m3u8
纬来电影,http://iptv.852851.xyz/l/QqRWKO7Cs9mEWwDgJp2etr_5mTph5Tn3IOYe7EupYWFYk4Y5YiLhVahiIgtRPK79/index.m3u8
智林體育台,http://iptv.852851.xyz/l/wcraGqYQb04_VOSOwVqmJ54Qj8Aa6205qLHHeRwe_oazUrrki9LBAck5DIBzaqXR/index.m3u8
博斯魅力台,http://iptv.852851.xyz/l/zgFADR0l0U4UhRsX5H4dPRUqispjvSPghuhxgraj51DmG9FZ7egsUpcknswwijWx/index.m3u8
博斯網球台,http://iptv.852851.xyz/l/bcvT2UgOjanGnUn1pEY9QY_htVJknf9pflj3-82znAdR3wmaN8Y0hKzdwC-ekipV/index.m3u8
博斯無限二台,http://iptv.852851.xyz/l/8ZfV1oTfjpZ0UJcoe35mHzniHUEUW4xnMeHlqpyVnVuwKTvppQNyf3Dyiq1JPMsg/index.m3u8
博斯無限台,http://iptv.852851.xyz/l/wnua7IZ5q5dd6FJMAsL18C0SpPyduiNvo4Q89ZjVbCqAOznULUB-dGbxBSitHc_2/index.m3u8
博斯運動二台,http://iptv.852851.xyz/l/jyQvLjuMm36noDx8zv_lIY4gLz7r3-CIRKgOQ-p_uxId1ZbQwmQp-gdQhsdALBz6/index.m3u8
博斯運動一台,http://iptv.852851.xyz/l/oexCPt4hU8m3k66mJd19AtVYHx5yqCGv7789DNZWJMb7R-jZP-VwvhkZGYvhxjor/index.m3u8
博斯高球二台,http://iptv.852851.xyz/l/raXhnEkwsWfzb0tEs0NEpPGLtP6_3r5mp46XTiCwM_1GD6_u9vjcIw85urS1aMOq/index.m3u8
博斯高球台,http://iptv.852851.xyz/l/WVo4ZBTnWItlaMFhpPdcwuTNjr1vOUIuzT5TNf5683xYg-4gODyP0d9CG_GxmsiC/index.m3u8
東森新聞台,http://iptv.852851.xyz/l/0icg3AgYFhjHqmh0GQTqo25VluLbZMASnso-3uhvaMdPH2BhAHNdrTtwR4VflD3n/index.m3u8
靖洋戲劇台,http://iptv.852851.xyz/l/9UA2cPd1bmRSzSdqOYhIewaPOFXVJOP6bgkKgPzd8bHIQ1PCNBmKYepLehX51tGN/index.m3u8
靖天戲劇台,http://iptv.852851.xyz/l/e2W_ezQff0hn0n5hekilCgxIOs3-PxnyE7YmJa-HYbdodR15YmCOG1SOmhAT0nuM/index.m3u8
amc電影台,http://iptv.852851.xyz/l/jW8BPgJQ-R3Z0XXwvPwBSTGSFB8wWejoncbKe-QCkKIoUQ36-pJNK6YYWdwnLCpI/index.m3u8
靖天電影台,http://iptv.852851.xyz/l/oZitGgel9dkEm-dwJYXl3u4unv2UTPlqNW8XjzTZG83bBQogCABz_HOFnPEKZVd8/index.m3u8
靖天映畫,http://iptv.852851.xyz/l/02JIaCGFS5doF80uigslG8RtTtD2VIcB5gvYRhheJzY_QgG8i0v8KNx7RNBZ8B0x/index.m3u8
采昌影劇台,http://iptv.852851.xyz/l/rwAuMAEDDzVgqI-K5LLqRd2pvV3JAfPrcCnW2vRBj78bTV_NOluxuwgk-nTxlMKz/index.m3u8
ROCK Action,http://iptv.852851.xyz/l/WONG0SL8eVicyxn5qVnjrunklU6DFDdfV9r1qzYlVfe2vwPHFU3AnTLxigf0BGhY/index.m3u8
金光布袋戲,http://iptv.852851.xyz/l/fCFv1CW53wp4J_Vd5nfwjsu9Az-_O0012ygftN-yk9b1A0Nyb3qZmgU-2BXxDXEt/index.m3u8
八大精彩台,http://iptv.852851.xyz/l/rT6HcCLuiT9jLCyJ5ro_pUzZOxVd0GAx-AdEGQvBAgjIVTdeL485f7pFODPphnab/index.m3u8
HITS頻道,http://iptv.852851.xyz/l/gn2XiYvQFbce227_vmWONSyKx2ylQrGYcCRdfwuCzMsfLJJjnWhdKTlurcdvcAsQ/index.m3u8
亞洲旅遊台,http://iptv.852851.xyz/l/EXRsbAfXQbFWvP_t8Pniqq7Au7zfeUZOiykaqeaXgO0FxjRCKbL1Tn1Gx9lkLNPl/index.m3u8
東森財經新聞台,http://iptv.852851.xyz/l/JrVk5wM3oAG-Cy1BfdgtGaliWDmVkE5WzRVKkf8RZ--J0Se1n1_9epFDKHi_uRGE/index.m3u8
豬哥亮歌廳秀,http://iptv.852851.xyz/l/TC0dpRirme_YsKVtMDeMgvjV02yYY4Lz7vXhg5st0CvezFo6YyN0SnK-F7pPqc1a/index.m3u8
民視綜藝台,http://iptv.852851.xyz/l/O6Fz8a3TtjoHdmYYkc1wf4SxXvjgOk4oiplRljOdhK-xdi8LdVww7BHfsUbYBjRh/index.m3u8
三立新聞iNEWS,http://iptv.852851.xyz/l/yjjfPBqsxoVBfBL6T1sbzuxZ9JDeggPStI6pjjWiYZqIOejyxPMb83IkVjSo0RDv/index.m3u8
